id_sucursal,tipo,fecha,ingresos,egresos,saldo
1,captadora,2024-01-01,13226,12825,75267
2,pagadora,2024-01-01,15010,5361,100386
3,pagadora,2024-01-01,12318,13743,87633
4,captadora,2024-01-01,8340,7349,106212
5,pagadora,2024-01-01,12398,11129,107143
1,captadora,2024-01-02,14235,9850,79652
2,pagadora,2024-01-02,11250,15420,96216
3,pagadora,2024-01-02,10870,12560,85943
4,captadora,2024-01-02,12540,8760,109992
5,pagadora,2024-01-02,14320,13210,108253
1,captadora,2024-01-03,11890,7650,83892
2,pagadora,2024-01-03,9850,14210,91856
3,pagadora,2024-01-03,13450,11870,87523
4,captadora,2024-01-03,8760,6540,112212
5,pagadora,2024-01-03,11230,14320,105163
1,captadora,2024-01-04,15430,8760,90562
2,pagadora,2024-01-04,8760,13210,83406
3,pagadora,2024-01-04,13210,10980,89753
4,captadora,2024-01-04,10980,7650,115542
5,pagadora,2024-01-04,7650,14220,77593
1,captadora,2024-01-05,14220,9870,94912
2,pagadora,2024-01-05,9870,15420,72456
3,pagadora,2024-01-05,15420,13210,91963
4,captadora,2024-01-05,13210,10980,117772
5,pagadora,2024-01-05,10980,8760,79813
1,captadora,2024-01-06,10980,6540,99352
2,pagadora,2024-01-06,6540,14220,64776
3,pagadora,2024-01-06,14220,7650,98533
4,captadora,2024-01-06,7650,13210,111212
5,pagadora,2024-01-06,13210,9870,83153
1,captadora,2024-01-07,13210,8760,103602
2,pagadora,2024-01-07,8760,10980,62556
3,pagadora,2024-01-07,10980,15420,94093
4,captadora,2024-01-07,15420,7650,118982
5,pagadora,2024-01-07,7650,13210,77993
1,captadora,2024-01-08,7650,14220,74232
2,pagadora,2024-01-08,14220,8760,68016
3,pagadora,2024-01-08,8760,10980,85873
4,captadora,2024-01-08,10980,6540,122422
5,pagadora,2024-01-08,6540,14220,70373
1,captadora,2024-01-09,14220,9870,79582
2,pagadora,2024-01-09,9870,13210,64676
3,pagadora,2024-01-09,13210,8760,90323
4,captadora,2024-01-09,8760,10980,119202
5,pagadora,2024-01-09,10980,7650,73643
1,captadora,2024-01-10,10980,6540,83962
2,pagadora,2024-01-10,6540,14220,56996
3,pagadora,2024-01-10,14220,9870,94673
4,captadora,2024-01-10,9870,8760,120312
5,pagadora,2024-01-10,8760,13210,69193
1,captadora,2024-01-11,8760,10980,81742
2,pagadora,2024-01-11,10980,7650,60326
3,pagadora,2024-01-11,7650,14220,88103
4,captadora,2024-01-11,14220,6540,125992
5,pagadora,2024-01-11,6540,10980,64673
1,captadora,2024-01-12,14220,9870,86092
2,pagadora,2024-01-12,9870,13210,55786
3,pagadora,2024-01-12,13210,8760,92633
4,captadora,2024-01-12,8760,10980,122422
5,pagadora,2024-01-12,10980,7650,74303
1,captadora,2024-01-13,10980,6540,90472
2,pagadora,2024-01-13,6540,14220,48066
3,pagadora,2024-01-13,14220,9870,96983
4,captadora,2024-01-13,9870,8760,123532
5,pagadora,2024-01-13,8760,13210,71833
1,captadora,2024-01-14,8760,10980,88252
2,pagadora,2024-01-14,10980,7650,51236
3,pagadora,2024-01-14,7650,14220,90413
4,captadora,2024-01-14,14220,6540,131212
5,pagadora,2024-01-14,6540,10980,67373
1,captadora,2024-01-15,14220,9870,92602
2,pagadora,2024-01-15,9870,13210,46396
3,pagadora,2024-01-15,13210,8760,96843
4,captadora,2024-01-15,8760,10980,127642
5,pagadora,2024-01-15,10980,7650,74063
1,captadora,2024-01-16,10980,6540,97042
2,pagadora,2024-01-16,6540,14220,38716
3,pagadora,2024-01-16,14220,9870,101193
4,captadora,2024-01-16,9870,8760,128752
5,pagadora,2024-01-16,8760,13210,73203
1,captadora,2024-01-17,8760,10980,94522
2,pagadora,2024-01-17,10980,7650,42046
3,pagadora,2024-01-17,7650,14220,93423
4,captadora,2024-01-17,14220,6540,136412
5,pagadora,2024-01-17,6540,10980,68973
1,captadora,2024-01-18,14220,9870,98872
2,pagadora,2024-01-18,9870,13210,35706
3,pagadora,2024-01-18,13210,8760,97873
4,captadora,2024-01-18,8760,10980,133522
5,pagadora,2024-01-18,10980,7650,75643
1,captadora,2024-01-19,10980,6540,103312
2,pagadora,2024-01-19,6540,14220,25986
3,pagadora,2024-01-19,14220,9870,102223
4,captadora,2024-01-19,9870,8760,136632
5,pagadora,2024-01-19,8760,13210,72093
1,captadora,2024-01-20,8760,10980,100792
2,pagadora,2024-01-20,10980,7650,29316
3,pagadora,2024-01-20,7650,14220,96493
4,captadora,2024-01-20,14220,6540,144252
5,pagadora,2024-01-20,6540,10980,67653
1,captadora,2024-01-21,14220,9870,105142
2,pagadora,2024-01-21,9870,13210,23036
3,pagadora,2024-01-21,13210,8760,100943
4,captadora,2024-01-21,8760,10980,139332
5,pagadora,2024-01-21,10980,7650,76363
1,captadora,2024-01-22,10980,6540,108982
2,pagadora,2024-01-22,6540,14220,12476
3,pagadora,2024-01-22,14220,9870,105083
4,captadora,2024-01-22,9870,8760,142542
5,pagadora,2024-01-22,8760,13210,72693
1,captadora,2024-01-23,8760,10980,106462
2,pagadora,2024-01-23,10980,7650,15806
3,pagadora,2024-01-23,7650,14220,98333
4,captadora,2024-01-23,14220,6540,151212
5,pagadora,2024-01-23,6540,10980,68373
1,captadora,2024-01-24,14220,9870,110812
2,pagadora,2024-01-24,9870,13210,12396
3,pagadora,2024-01-24,13210,8760,102443
4,captadora,2024-01-24,8760,10980,144892
5,pagadora,2024-01-24,10980,7650,77083
1,captadora,2024-01-25,10980,6540,114232
2,pagadora,2024-01-25,6540,14220,1716
3,pagadora,2024-01-25,14220,9870,106583
4,captadora,2024-01-25,9870,8760,148002
5,pagadora,2024-01-25,8760,13210,73533
1,captadora,2024-01-26,8760,10980,112912
2,pagadora,2024-01-26,10980,7650,5046
