id_sucursal,tipo,fecha,ingresos,egresos,saldo
1,captadora,2024-01-01,9270,1860,107410
1,captadora,2024-01-02,7390,6226,108574
1,captadora,2024-01-03,7191,4772,110993
1,captadora,2024-01-04,5092,6734,109351
1,captadora,2024-01-05,8265,1466,116150
1,captadora,2024-01-06,7334,5426,118058
1,captadora,2024-01-07,7578,7231,118405
1,captadora,2024-01-08,5444,4171,119678
1,captadora,2024-01-09,4919,1130,123467
1,captadora,2024-01-10,3685,1769,125383
1,captadora,2024-01-11,4391,6611,123163
1,captadora,2024-01-12,9581,7949,124795
1,captadora,2024-01-13,4433,6311,122917
1,captadora,2024-01-14,7051,7420,122548
1,captadora,2024-01-15,3184,5555,120177
1,captadora,2024-01-16,5385,5117,120445
1,captadora,2024-01-17,8396,5843,122998
1,captadora,2024-01-18,4904,1474,126428
1,captadora,2024-01-19,3082,3558,125952
1,captadora,2024-01-20,9849,3047,132754
1,captadora,2024-01-21,9643,3747,138650
1,captadora,2024-01-22,2975,2806,138819
1,captadora,2024-01-23,2189,3734,137274
1,captadora,2024-01-24,5005,5658,136621
1,captadora,2024-01-25,3899,2267,138253
1,captadora,2024-01-26,8975,2528,144700
1,captadora,2024-01-27,5202,4556,145346
1,captadora,2024-01-28,5890,1646,149590
1,captadora,2024-01-29,8164,3888,153866
